Region,Counter Strike: (2014),Fortnite: (2014),Dota 2: (2014),League of Legends: (2014),PUBG: (2014)
Hawaii,4%,,18%,78%,
California,4%,<1%,23%,73%,
Nevada,4%,<1%,21%,75%,
Idaho,3%,<1%,22%,75%,
Utah,3%,<1%,27%,70%,
Washington,4%,<1%,27%,69%,
Alaska,5%,<1%,29%,66%,
North Dakota,3%,,27%,70%,
Arizona,4%,<1%,24%,72%,
Indiana,4%,<1%,26%,70%,
South Dakota,,,26%,74%,
Iowa,4%,<1%,26%,70%,
Rhode Island,5%,,27%,68%,
Minnesota,3%,<1%,25%,72%,
New Jersey,5%,<1%,24%,71%,<1%
Delaware,4%,,23%,73%,
Wisconsin,6%,<1%,23%,71%,
Ohio,6%,<1%,25%,69%,<1%
Maryland,5%,<1%,27%,68%,
Florida,5%,<1%,22%,73%,
Michigan,5%,<1%,25%,70%,
Montana,3%,,24%,73%,
Vermont,5%,,30%,65%,
New Hampshire,6%,<1%,34%,60%,
Connecticut,5%,<1%,30%,65%,
Maine,7%,,27%,66%,
Texas,5%,<1%,23%,72%,<1%
Arkansas,2%,,29%,69%,
New Mexico,3%,<1%,25%,72%,
Missouri,6%,<1%,22%,72%,<1%
Kansas,6%,<1%,22%,72%,
New York,5%,<1%,26%,69%,<1%
West Virginia,6%,<1%,25%,69%,
Oklahoma,4%,<1%,23%,73%,
Massachusetts,6%,<1%,29%,65%,
Oregon,7%,<1%,26%,67%,
Pennsylvania,5%,<1%,28%,67%,
Wyoming,,,21%,79%,
Alabama,4%,<1%,24%,72%,
Nebraska,5%,<1%,32%,63%,
Colorado,4%,<1%,25%,71%,<1%
Tennessee,4%,<1%,23%,73%,
Kentucky,5%,<1%,21%,74%,
Illinois,6%,<1%,27%,67%,
North Carolina,6%,<1%,25%,69%,
Louisiana,4%,,22%,74%,
Virginia,8%,<1%,27%,65%,
Georgia,5%,<1%,21%,74%,
South Carolina,5%,<1%,23%,72%,
Mississippi,7%,<1%,21%,72%,
District of Columbia,6%,,27%,67%,
